一會兒	一会儿	yi1 huir4	/a while/
真的	真的	zhen1 de5	/really/
洗澡間	洗澡间	xi3 zao3 jian1	/bathroom/
家人	家人	jia1 ren2	/household/(one's) family/
小	小	xiao3	/small/tiny/few/young/
家裡	家里	jia1 li3	/home/
裡	里	li3	/inside/internal/interior/
試	试	shi4	/to test/to try/experiment/examination/test/
走	走	zou3	/to walk/to go/to move/
回答	回答	hui2 da2	/reply/answer/
班機	班机	ban1 ji1	/airliner/airplane/plane/
哪	哪	na3	/how/which/
遠	远	yuan3	/far/distant/remote/
大人	大人	da4 ren5	/adult/grownup/
小時	小时	xiao3 shi2	/hour/
飛機場	飞机场	fei1 ji1 chang3	/airport/
坐	坐	zuo4	/to sit/to take a seat/to take (a bus, airplane etc.)/
飛機	飞机	fei1 ji1	/airplane/
一千	一千	yi1 qian1	/one thousand/
一直往前	一直往前	yi4 zhi2 wang3 qian2	/straight ahead/
這	这	zhe4	/this/these/
怎麼說	怎么说	zen3 me5 shuo1	/how to say/
港幣	港币	gang3 bi4	/Hong Kong currency/Hong Kong dollar/
右邊	右边	you4 bian1	/right (as opposed to left)/
道	道	dao4	/direction/way/method/road/path/principle/truth/reason/skill/method/Tao (of Taoism)/a measure word/to say/to speak/to talk/
國語	国语	guo2 yu3	/national language/Mandarin/
那	那	na4	/that/those/
然後	然后	ran2 hou4	/after/then (afterwards)/after that/afterwards/
左邊	左边	zuo3 bian1	/left/
應該	应该	ying1 gai1	/ought to/should/must/
路	路	lu4	/(surname)/road/path/way/
條	条	tiao2	/measure word for long, thin things (i.e. ribbon, river, etc.)/a strip/item/article/
商店	商店	shang1 dian4	/store/shop/
因為	因为	yin1 wei5	/because/
為什麼	为什么	wei4 shen2 me5	/why/for what reason/
次	次	ci4	/number (of times)/
語	语	yu3	/dialect/language/speech/
關門	关门	guan1 men2	/close down/closed doors/
門	门	men2	/opening/door/gate/doorway/gateway/valve/switch/way to do something/knack/family/house/(religious) sect/school (of thought)/class/category/phylum or division (taxonomy)/
開門	开门	kai1 men2	/open (the) door/
哪條路	哪条路	na3 tiao2 lu4	/which road/
