幾	几	ji3	/a few/
酒	酒	jiu3	/alcohol/
物品	物品	wu4 pin3	/article/thing/goods/
包	包	bao1	/bag/
香煙	香烟	xiang1 yan1	/cigarettes/
海關官員	海关官员	hai3 guan1 guan1 yuan2	/customs officer/
天	天	tian1	/day/
申報	申报	shen1 bao4	/declare/declaration/
水果	水果	shui3 guo3	/fruit/
綠色通道	绿色通道	lu:4 se4 tong1 dao4	/green channel/
多久	多久	duo1 jiu3	/how long (time)/
月	月	yue4	/month/
多	多	duo1	/more than/
超過	超过	chao1 guo4	/more than/
公務	公务	gong1 wu4	/on business/
祇	只	zhi3	/only/
路過	路过	lu4 guo4	/pass through/
護照	护照	hu4 zhao4	/passport/
交稅	交税	jiao1 shui4	/pay duty/
個人	个人	ge4 ren2	/personal/
個人的	个人的	ge4 ren2 de5	/personal/
打算	打算	da3 suan4	/plan/
紅色通道	红色通道	hong2 se4 tong1 dao4	/red channel/
獃	呆	dai1	/stay/
手提箱	手提箱	shou3 ti2 xiang1	/suitcase/
旅遊	旅游	lu:3 you2	/tour/
蔬菜	蔬菜	shu1 cai4	/vegetables/
簽證	签证	qian1 zheng4	/visa/
星期	星期	xing1 qi1	/week/
威士忌	威士忌	wei1 shi4 ji4	/whiskey/
