報紙	报纸	bao4 zhi3	/newspaper/newsprint/
詞典	词典	ci2 dian3	/dictionary/
從	从	cong2	/from/obey/observe/follow/
德國	德国	de2 guo2	/Germany/German/
電視	电视	dian4 shi4	/television/TV/
懂	懂	dong3	/to understand/to know/
法國	法国	fa3 guo2	/France/French/
法語	法语	fa3 yu3	/French (language)/
翻譯	翻译	fan1 yi4	/translate/
廣東	广东	guang3 dong1	/Guangdong province, China/
廣州	广州	guang3 zhou1	/Guangzhou (city)/
國	国	guo2	/country/state/nation/
話	话	hua4	/dialect/language/spoken words/speech/talk/words/conversation/what someone said/
回答	回答	hui2 da2	/reply/answer/
會	会	hui4	/can/be possible/be able to/to assemble/to meet/to gather/to see/union/group/association/
會話	会话	hui4 hua4	/conversation/
叫	叫	jiao4	/to (be) call(ed)/
句子	句子	ju4 zi5	/sentence/
課文	课文	ke4 wen2	/text/
練習	练习	lian4 xi2	/exercise/drill/
樓	楼	lou2	/storied building/floor/
慢	慢	man4	/slow/
普通話	普通话	pu3 tong1 hua4	/Mandarin (common language)/Putonghua (common speech of the Chinese language)/
生詞	生词	sheng1 ci2	/new word/
書法	书法	shu1 fa3	/calligraphy/penmanship/
說	说	shuo1	/to speak/to say/
四川	四川	si4 chuan1	/Sichuan province, China/
台灣	台湾	tai2 wan1	/Taiwan/
聽	听	ting1	/listen/hear/obey/
外國	外国	wai4 guo2	/foreign (country)/
外國人	外国人	wai4 guo2 ren2	/foreigner/
外語	外语	wai4 yu3	/foreign language/
西班牙語	西班牙语	xi1 ban1 ya2 yu3	/Spanish (language)/
香港	香港	xiang1 gang3	/Hong Kong/
寫	写	xie3	/to write/
新聞	新闻	xin1 wen2	/news/
一點兒	一点儿	yi1 dianr3	/a bit/a little/
意思	意思	yi4 si1	/idea/opinion/meaning/
英國	英国	ying1 guo2	/England/Britain/English/
英語	英语	ying1 yu3	/English (language)/
用	用	yong4	/to use/
語法	语法	yu3 fa3	/grammar/
語言	语言	yu3 yan2	/(spoken) language/
雜誌	杂志	za2 zhi4	/magazine/
再	再	zai4	/again/once more/re-/second/another/
祇	只	zhi3	/but/only/
種	种	zhong3	/kind/type/race (of people)/seed/type/
字	字	zi4	/letter/symbol/character/word/
國語	国语	guo2yu3	/Mandarin (national language)/
一遍	一遍	yi2bian4	/once/
怎么	怎么	zen3me5	/how/
